,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
0,173.95621687270926,63.883127888908746,0.0,anadyr,11.18,-16.61,75.0,0.0
1,-138.69395275043428,16.650616573545705,1.0,hilo,6.93,66.0,53.0,90.0
2,34.773122705335,-69.35995723339613,2.0,port elizabeth,13.87,44.29,33.0,1.0
3,-151.12046453638936,-70.28613248275448,3.0,mataura,4.38,65.63,72.0,12.0
5,-59.43441906334709,58.12057478865637,5.0,saint-augustin,9.17,54.39,82.0,0.0
6,-136.0298140288422,65.84870862285561,6.0,mayo,4.7,24.8,68.0,75.0
7,-124.77226474473564,-72.81385396696638,7.0,rikitea,20.49,81.2,98.0,92.0
8,13.703427200538357,35.81748106240684,8.0,san lawrenz,4.7,59.0,93.0,0.0
9,83.21670075292377,-16.79257388654449,9.0,hithadhoo,12.66,84.35,99.0,92.0
11,73.27172993596344,-64.53820463884445,11.0,saint-philippe,10.29,32.49,95.0,90.0
13,177.7918990044929,-60.08425862260567,13.0,kaitangata,4.16,63.92,73.0,32.0
14,-13.096889364535997,9.825900113418072,14.0,coyah,6.93,80.6,74.0,75.0
15,135.2409479855209,-21.72638717404479,15.0,alice springs,6.93,71.6,83.0,90.0
16,-89.22063682746756,6.997121062092006,16.0,santa cruz,5.82,57.0,82.0,90.0
17,137.03927596328094,-49.78250787256282,17.0,new norfolk,11.41,66.2,68.0,20.0
18,128.25218135217773,50.52461098958884,18.0,srednebelaya,6.71,5.0,54.0,0.0
19,-129.56719006317815,43.416820697499475,19.0,north bend,3.36,56.3,58.0,1.0
20,-74.93377143579269,74.6981127960704,20.0,qaanaaq,11.43,-16.64,96.0,44.0
21,-109.07550504820401,86.1516553499491,21.0,yellowknife,9.17,23.0,57.0,20.0
22,102.46010504344082,14.096325815917183,22.0,soeng sang,9.17,68.0,77.0,8.0
24,91.54520139384317,-7.354049571438907,24.0,padang,11.99,82.55,100.0,36.0
27,46.295391126421976,-56.683520113450804,27.0,east london,14.23,70.94,100.0,88.0
28,-169.32552583616686,-74.98170492786556,28.0,vaini,2.93,64.5,74.0,0.0
29,4.762460925663817,-68.27110496108162,29.0,hermanus,2.59,52.67,94.0,24.0
31,145.69302166129984,-79.9389352865637,31.0,hobart,11.41,66.2,68.0,20.0
32,-103.58092817397903,10.565523025029421,32.0,san jeronimo,2.15,48.26,85.0,12.0
33,-115.91368733875129,-80.76433163734421,33.0,punta arenas,9.17,55.4,62.0,75.0
35,10.83278506243471,-39.91649938232114,35.0,cape town,4.7,64.4,68.0,0.0
36,86.17164313926367,9.292266947925782,36.0,batticaloa,9.98,80.93,99.0,92.0
38,-150.60034774651342,-20.31765276554698,38.0,moerai,7.4,78.77,100.0,64.0
39,-53.93767733098605,-89.27862104687553,39.0,ushuaia,5.82,50.0,61.0,75.0
42,93.10431694686656,-41.790117150289085,42.0,busselton,23.85,65.36,100.0,12.0
45,177.78282013606008,-21.44500566797288,45.0,isangel,3.71,78.77,100.0,100.0
46,98.8422219555867,-31.807799347186823,46.0,geraldton,3.36,24.8,45.0,20.0
48,25.726832341492837,-2.5847130934677693,48.0,kindu,3.38,72.02,92.0,80.0
50,44.4175183812238,-85.10138711211818,50.0,port alfred,3.94,69.0,90.0,92.0
53,-96.46290627370158,79.90638149092729,53.0,thompson,6.93,24.8,79.0,90.0
54,-146.02237498796998,37.771713999418665,54.0,kahului,23.04,71.51,64.0,75.0
55,-114.43354144012197,20.81979929731405,55.0,todos santos,7.74,72.38,83.0,0.0
56,-8.28831107098378,-8.108842502557565,56.0,georgetown,4.7,75.2,94.0,75.0
57,-69.64789053196652,-41.030412140732416,57.0,san carlos de bariloche,21.92,51.8,50.0,40.0
58,13.213229238927,57.63721084058756,58.0,boras,9.17,23.83,85.0,90.0
59,-166.92351518083103,10.338549493736451,59.0,kapaa,23.04,71.42,56.0,90.0
60,-32.5352947922936,41.742655854881576,60.0,ribeira grande,7.18,56.9,100.0,92.0
65,-100.11811997206263,2.0412083423575496,65.0,puerto ayora,14.99,84.2,70.0,20.0
67,-83.24999937687059,-12.392111692162032,67.0,huarmey,3.15,70.49,63.0,24.0
68,147.3485519805214,-14.613457122966736,68.0,cairns,14.99,78.8,78.0,20.0
71,-146.56744221534834,47.77484717434373,71.0,kodiak,8.05,53.6,46.0,90.0
73,153.284593994467,-29.83710228848063,73.0,grafton,6.17,70.76,87.0,92.0
76,-123.97657635029452,77.68258544664963,76.0,tuktoyaktuk,13.87,-7.1,69.0,75.0
77,22.723106104420708,-20.586793077195352,77.0,sehithwa,3.15,68.24,94.0,56.0
81,144.00071841347602,80.55265816769182,81.0,chokurdakh,3.38,-28.61,47.0,36.0
83,154.43758041459813,-12.679974890842558,83.0,samarai,12.77,81.15,100.0,88.0
85,82.49195014681999,-29.971006715342845,85.0,bambous virieux,9.17,78.8,94.0,75.0
86,-1.801997339897241,-26.98156175067983,86.0,jamestown,4.16,77.15,69.0,0.0
87,13.95386770004339,0.5620202742129692,87.0,makokou,4.61,76.7,85.0,48.0
88,-162.86232870337943,-23.825864935891033,88.0,avarua,10.29,86.0,74.0,40.0
89,138.09446126156377,69.17283470352425,89.0,deputatskiy,2.93,-34.64,60.0,0.0
90,86.10106318931696,13.526244032415235,90.0,yarada,1.25,80.66,100.0,36.0
91,110.57327943363322,2.2448849512856697,91.0,kuching,2.24,75.2,100.0,75.0
92,167.2758552658188,-82.39439948913157,92.0,bluff,15.46,80.39,47.0,8.0
95,35.55736302072049,-25.799023710437766,95.0,inhambane,6.62,74.27,100.0,68.0
96,114.89659768175858,53.54823753283071,96.0,verkh-usugli,4.94,3.39,74.0,0.0
97,-94.6573670234714,36.314508268264404,97.0,siloam springs,6.93,69.78,49.0,1.0
99,104.00046653814121,-75.03951339979315,99.0,albany,17.22,33.78,59.0,75.0
